0000	E8
1A20	21
1A21	B6
1A22	70
1A23	21
1A24	C5
1A25	FF
1A26	98
1A27	01
1A28	CA
1A29	A0
1A2A	19
1A2B	15
1A2C	00
1A2D	5F
1A2E	4C
1A2F	8A
1A30	C1
1A31	27
1A32	2F
1A33	E4
1A34	CE
1A35	ED
1A36	3D
1A37	5A
1A38	BF
1A39	AD
1A3A	15
1A3B	2E
1A3C	D9
1A3D	30
1A3E	D8
1A3F	D4
1A40	10
1A41	30
1A42	E9
1A43	72
1A44	D0
1A45	EC
1A46	42
1A47	BF
1A48	B9
1A49	EA
1A4A	E5
1A4B	B1
1A4C	E5
1A4D	B4
1A4E	5E
1A4F	5B
1A50	CA
1A51	49
1A52	2D
1A53	31
1A54	32
1A55	F2
1A56	B4
1A57	36
1A58	45
1A59	CD
1A5A	C1
1A5B	5F
1A5C	BA
1A5D	FF
1A5E	22
1A5F	C6
1A60	28
1A61	93
1A62	11
1A63	1E
1A64	65
1A65	CB
1A66	1C
1A67	2B
1A68	3A
1A69	16
1A6A	68
1A6B	4F
1A6C	04
1A6D	9A
1A6E	6D
1A6F	E0
1A70	65
1A71	ED
1A72	0B
1A73	67
1A74	D3
1A75	87
1A76	46
1A77	39
1A78	6C
1A79	DF
1A7A	87
1A7B	A1
1A7C	D8
1A7D	B8
1A7E	F6
1A7F	F7
1A80	7A
1A81	2B
1A82	A0
1A83	AD
1A84	B0
1A85	16
1A86	00
1A87	58
1A88	5C
1A89	18
1A8A	19
1A8B	32
1A8C	46
1A8D	32
1A8E	4C
1A8F	A9
1A90	7D
1A91	75
1A92	C4
1A93	49
1A94	EB
1A95	C8
1A96	F8
1A97	C4
1A98	AE
1A99	9F
1A9A	B7
1A9B	D7
1A9C	9A
1A9D	48
1A9E	46
1A9F	AD
1AA0	5C
1AA1	E8
1AA2	90
1AA3	F3
1AA4	D3
1AA5	70
1AA6	59
1AA7	EC
1AA8	74
1AA9	EB
1AAA	F2
1AAB	E1
1AAC	3D
1AAD	01
1AAE	CB
1AAF	C5
1AB0	D9
1AB1	6E
1AB2	EC
1AB3	56
1AB4	2D
1AB5	A1
1AB6	0C
1AB7	48
1AB8	71
1AB9	DE
1ABA	54
1ABB	1E
1ABC	D1
1ABD	6B
1ABE	8D
1ABF	43
1AC0	B8
1AC1	D0
1AC2	2C
1AC3	1E
1AC4	D0
1AC5	9E
1AC6	80
1AC7	AD
1AC8	BB
1AC9	86
1ACA	B8
1ACB	E4
1ACC	F7
1ACD	1E
1ACE	0D
1ACF	79
1AD0	69
1AD1	75
1AD2	96
1AD3	7D
1AD4	AE
1AD5	54
1AD6	1C
1AD7	13
1AD8	32
1AD9	1F
1ADA	B6
1ADB	D4
1ADC	49
1ADD	18
1ADE	97
1ADF	2C
1AE0	AE
1AE1	D8
1AE2	E7
1AE3	4B
1AE4	EB
1AE5	30
1AE6	A8
1AE7	94
1AE8	E0
1AE9	EC
1AEA	BF
1AEB	D2
1AEC	82
1AED	C8
1AEE	17
1AEF	A1
1AF0	7E
1AF1	8D
1AF2	AA
1AF3	13
1AF4	AC
1AF5	38
1AF6	57
1AF7	DE
1AF8	8A
1AF9	90
1AFA	71
1AFB	36
1AFC	7E
1AFD	44
1AFE	49
1AFF	C5
1B00	FC
1B01	56
1B02	28
1B03	95
1B04	8E
1B05	A8
1B06	9C
1B07	6E
1B08	1E
1B09	87
1B0A	48
1B0B	58
1B0C	35
1B0D	CA
1B0E	8D
1B0F	87
1B10	F8
1B11	1C
1B12	FD
1B13	49
1B14	E7
1B15	7F
1B16	2D
1B17	EE
1B18	0F
1B19	6F
1B1A	2C
1B1B	2C
1B1C	CA
1B1D	33
1B1E	81
1B1F	83
1B20	DD
1B21	0E
1B22	98
1B23	92
1B24	64
1B25	5C
1B26	38
1B27	A4
1B28	DA
1B29	64
1B2A	4E
1B2B	C6
1B2C	55
1B2D	01
1B2E	27
1B2F	F8
1B30	84
1B31	8A
1B32	3B
1B33	04
1B34	8C
1B35	48
1B36	CE
1B37	07
1B38	A4
1B39	F1
1B3A	90
1B3B	63
1B3C	56
1B3D	E0
1B3E	DC
1B3F	9E
1B40	2F
1B41	AD
1B42	83
1B43	BB
1B44	C0
1B45	39
1B46	F0
1B47	57
1B48	0A
1B49	9D
1B4A	0C
1B4B	7A
1B4C	F5
1B4D	BD
1B4E	3E
1B4F	52
1B50	95
1B51	9D
1B52	9B
1B53	D9
1B54	CD
1B55	B0
1B56	49
1B57	15
1B58	D1
1B59	B1
1B5A	CD
1B5B	2E
1B5C	43
1B5D	DB
1B5E	1B
1B5F	A9
1B60	8C
1B61	47
1B62	03
1B63	25
1B64	BF
1B65	98
1B66	BC
1B67	46
1B68	3F
1B69	F0
1B6A	24
1B6B	F0
1B6C	9F
1B6D	3A
1B6E	3A
1B6F	A1
1B70	99
1B71	DD
1B72	57
1B73	8D
1B74	50
1B75	0E
1B76	D9
1B77	E2
1B78	F6
1B79	29
1B7A	65
1B7B	A5
1B7C	E9
1B7D	A5
1B7E	78
1B7F	C0
1B80	02
1B81	40
1B82	60
1B83	53
1B84	91
1B85	0E
1B86	21
1B87	C4
1B88	46
1B89	E6
1B8A	BE
1B8B	C7
1B8C	59
1B8D	B8
1B8E	75
1B8F	64
1B90	3D
1B91	15
1B92	6F
1B93	51
1B94	E8
1B95	EA
1B96	72
1B97	EA
1B98	55
1B99	E6
1B9A	A3
1B9B	E1
1B9C	7F
1B9D	1F
1B9E	BE
1B9F	BB
1BA0	FD
1BA1	2D
1BA2	02
1BA3	59
1BA4	68
1BA5	8D
1BA6	05
1BA7	57
1BA8	7A
1BA9	CE
1BAA	E5
1BAB	E7
1BAC	54
1BAD	D2
1BAE	27
1BAF	99
1BB0	3F
1BB1	A1
1BB2	E5
1BB3	2A
1BB4	64
1BB5	87
1BB6	B2
1BB7	62
1BB8	DE
1BB9	D1
1BBA	6C
1BBB	88
1BBC	00
1BBD	35
1BBE	CF
1BBF	8C
1BC0	05
1BC1	A7
1BC2	18
1BC3	6A
1BC4	C8
1BC5	B0
1BC6	A2
1BC7	64
1BC8	2C
1BC9	10
1BCA	01
1BCB	EC
1BCC	06
1BCD	3B
1BCE	48
1BCF	22
1BD0	B2
1BD1	8E
1BD2	C5
1BD3	D6
1BD4	05
1BD5	99
1BD6	F3
1BD7	97
1BD8	B0
1BD9	95
1BDA	84
1BDB	13
1BDC	28
1BDD	84
1BDE	53
1BDF	49
1BE0	DC
1BE1	2E
1BE2	CA
1BE3	7F
1BE4	39
1BE5	02
1BE6	3F
1BE7	1D
1BE8	20
1BE9	B8
1BEA	E5
1BEB	1C
1BEC	A1
1BED	07
1BEE	78
1BEF	A2
1BF0	6E
1BF1	B9
1BF2	F2
1BF3	B6
1BF4	08
1BF5	C0
1BF6	D5
1BF7	32
1BF8	08
1BF9	0C
1BFA	DF
1BFB	4B
1BFC	13
1BFD	86
1BFE	E0
1BFF	8F
1C00	B4
1C01	43
1C02	B8
1C03	0A
1C04	BC
1C05	E4
1C06	56
1C07	E2
1C08	0B
1C09	33
1C0A	88
1C0B	30
1C0C	19
1C0D	1C
1C0E	1D
1C0F	F5
1C10	71
1C11	D3
1C12	A0
1C13	B5
1C14	8B
1C15	D9
1C16	73
1C17	2B
1C18	91
1C19	72
1C1A	84
1C1B	93
1C1C	A1
1C1D	19
1C1E	F9
1C1F	5D
1C20	AD
1C21	99
1C22	9E
1C23	C8
1C24	5F
1C25	C8
1C26	37
1C27	70
1C28	40
1C29	8A
1C2A	20
1C2B	2F
1C2C	FE
1C2D	E6
1C2E	3A
1C2F	60
1C30	8C
1C31	7A
1C32	8E
1C33	F1
1C34	05
1C35	89
1C36	AD
1C37	5B
1C38	2B
1C39	AC
1C3A	46
1C3B	31
1C3C	B2
1C3D	15
1C3E	27
1C3F	85
1C40	C3
1C41	7B
1C42	8C
1C43	19
1C44	1E
1C45	1E
1C46	8E
1C47	7C
1C48	8A
1C49	E3
1C4A	EE
1C4B	7C
1C4C	81
1C4D	AF
1C4E	6B
1C4F	C3
1C50	C1
1C51	3A
1C52	C7
1C53	60
1C54	46
1C55	ED
1C56	1D
1C57	67
1C58	DA
1C59	84
1C5A	0F
1C5B	1E
1C5C	4E
1C5D	EB
1C5E	F4
1C5F	CF
1C60	30
1C61	FA
1C62	30
1C63	8D
1C64	31
1C65	04
1C66	4F
1C67	E3
1C68	91
1C69	1A
1C6A	91
1C6B	25
1C6C	A0
1C6D	43
1C6E	57
1C6F	AD
1C70	11
1C71	6A
1C72	DD
1C73	68
1C74	3C
1C75	0D
1C76	75
1C77	68
1C78	35
1C79	09
1C7A	05
1C7B	56
1C7C	0C
1C7D	F0
1C7E	A6
1C7F	BC
1C80	71
1C81	C5
1C82	BB
1C83	99
1C84	7A
1C85	06
1C86	74
1C87	AA
1C88	17
1C89	3E
1C8A	64
1C8B	E8
1C8C	7D
1C8D	11
1C8E	D5
1C8F	2F
1C90	EC
1C91	E0
1C92	31
1C93	A6
1C94	1A
1C95	8D
1C96	B6
1C97	43
1C98	56
1C99	86
1C9A	BA
1C9B	C9
1C9C	DA
1C9D	4F
1C9E	AE
1C9F	E8
1CA0	21
1CA1	7E
1CA2	8C
1CA3	3F
1CA4	30
1CA5	18
1CA6	51
1CA7	15
1CA8	B7
1CA9	7D
1CAA	E4
1CAB	DC
1CAC	E4
1CAD	87
1CAE	1D
1CAF	C9
1CB0	7F
1CB1	1A
1CB2	A2
1CB3	D3
1CB4	CA
1CB5	8F
1CB6	4B
1CB7	72
1CB8	E4
1CB9	06
1CBA	05
1CBB	D6
1CBC	40
1CBD	0A
1CBE	35
1CBF	03
1CC0	F7
1CC1	46
1CC2	2D
1CC3	86
1CC4	76
1CC5	1E
1CC6	7A
1CC7	58
1CC8	16
1CC9	2C
1CCA	00
1CCB	84
1CCC	97
1CCD	23
1CCE	F6
1CCF	F1
1CD0	81
1CD1	20
1CD2	ED
1CD3	A2
1CD4	68
1CD5	84
1CD6	86
1CD7	C2
1CD8	A9
1CD9	A0
1CDA	79
1CDB	F8
1CDC	72
1CDD	AE
1CDE	B0
1CDF	58
1CE0	25
1CE1	4B
1CE2	14
1CE3	F1
1CE4	D3
1CE5	92
1CE6	BA
1CE7	02
1CE8	79
1CE9	B6
1CEA	E6
1CEB	04
1CEC	57
1CED	1F
1CEE	53
1CEF	9A
1CF0	A0
1CF1	F8
1CF2	DA
1CF3	AF
1CF4	BF
1CF5	7F
1CF6	C2
1CF7	1B
1CF8	F6
1CF9	6E
1CFA	E7
1CFB	11
1CFC	98
1CFD	FD
1CFE	9E
1CFF	6D
1D00	AD
1D01	E2
1D02	87
1D03	DD
1D04	61
1D05	73
1D06	C2
1D07	F6
1D08	F6
1D09	16
1D0A	F6
1D0B	F1
1D0C	45
1D0D	C0
1D0E	EA
1D0F	04
1D10	55
1D11	4E
1D12	89
1D13	EC
1D14	58
1D15	6E
1D16	34
1D17	58
1D18	2A
1D19	EC
1D1A	ED
1D1B	4C
1D1C	5E
1D1D	2A
1D1E	F6
1D1F	E4
1D20	8A
1D21	D4
1D22	2D
1D23	39
1D24	F6
1D25	9B
1D26	8A
1D27	00
1D28	07
1D29	CA
1D2A	A3
1D2B	0A
1D2C	65
1D2D	6B
1D2E	30
1D2F	20
1D30	32
1D31	66
1D32	6F
1D33	47
1D34	57
1D35	FF
1D36	87
1D37	E8
1D38	EF
1D39	B5
1D3A	87
1D3B	2B
1D3C	6E
1D3D	DD
1D3E	52
1D3F	08
1D40	3C
1D41	62
1D42	F4
1D43	B7
1D44	DC
1D45	03
1D46	79
1D47	B9
1D48	94
1D49	CF
1D4A	4E
1D4B	DC
1D4C	80
1D4D	1E
1D4E	29
1D4F	7E
1D50	A4
1D51	D8
1D52	5D
1D53	81
1D54	D6
1D55	38
1D56	4E
1D57	3A
1D58	DC
1D59	41
1D5A	42
1D5B	79
1D5C	3E
1D5D	39
1D5E	77
1D5F	DE
1D60	37
1D61	33
1D62	DB
1D63	3B
1D64	81
1D65	0A
1D66	F5
1D67	ED
1D68	6C
1D69	41
1D6A	21
1D6B	48
1D6C	4A
1D6D	E0
1D6E	F8
1D6F	B1
1D70	5A
1D71	D7
1D72	54
1D73	E9
1D74	72
1D75	98
1D76	8C
1D77	C5
1D78	02
1D79	FE
1D7A	C8
1D7B	12
1D7C	A2
1D7D	65
1D7E	30
1D7F	E2
1D80	4A
1D81	CF
1D82	38
1D83	12
1D84	D0
1D85	5C
1D86	07
1D87	C7
1D88	E9
1D89	4E
1D8A	69
1D8B	84
1D8C	6E
1D8D	5A
1D8E	C5
1D8F	01
1D90	93
1D91	D3
1D92	9F
1D93	E7
1D94	CE
1D95	76
1D96	CD
1D97	95
1D98	AA
1D99	16
1D9A	43
1D9B	49
1D9C	F5
1D9D	81
1D9E	2A
1D9F	3E
1DA0	D4
1DA1	FE
1DA2	12
1DA3	34
1DA4	09
1DA5	93
1DA6	F3
1DA7	F6
1DA8	CF
1DA9	BB
1DAA	88
1DAB	78
1DAC	32
1DAD	E0
1DAE	D8
1DAF	73
1DB0	1E
1DB1	A0
1DB2	FD
1DB3	B8
1DB4	C8
1DB5	D1
1DB6	EE
1DB7	16
1DB8	E2
1DB9	F9
1DBA	D6
1DBB	EA
1DBC	71
1DBD	E4
1DBE	8F
1DBF	69
1DC0	CB
1DC1	5F
1DC2	42
1DC3	E3
1DC4	16
1DC5	76
1DC6	9A
1DC7	61
1DC8	1F
1DC9	E7
1DCA	AC
1DCB	87
1DCC	B4
1DCD	1D
1DCE	CF
1DCF	08
1DD0	71
1DD1	99
1DD2	19
1DD3	A9
1DD4	2E
1DD5	EE
1DD6	24
1DD7	B2
1DD8	AC
1DD9	E1
1DDA	EF
1DDB	F7
1DDC	5C
1DDD	98
1DDE	01
1DDF	A4
1DE0	98
1DE1	BF
1DE2	CD
1DE3	CA
1DE4	22
1DE5	8D
1DE6	01
1DE7	CE
1DE8	E2
1DE9	35
1DEA	AF
1DEB	C7
1DEC	41
1DED	74
1DEE	13
1DEF	D1
1DF0	06
1DF1	51
1DF2	CF
1DF3	E4
1DF4	CB
1DF5	47
1DF6	02
1DF7	C0
1DF8	B5
1DF9	EA
1DFA	5A
1DFB	01
1DFC	95
1DFD	8F
1DFE	75
1DFF	1B
1E00	98
1E01	AC
1E02	15
1E03	DB
1E04	08
1E05	B1
1E06	D9
1E07	68
1E08	C9
1E09	6A
1E0A	67
1E0B	01
1E0C	47
1E0D	49
1E0E	E3
1E0F	2B
1E10	5B
1E11	E6
1E12	9C
1E13	E3
1E14	73
1E15	95
1E16	98
1E17	3D
1E18	DF
1E19	CE
1E1A	7D
1E1B	35
1E1C	6B
1E1D	22
1E1E	F2
1E1F	78
1E20	9C
1E21	D2
1E22	C0
1E23	10
1E24	78
1E25	0A
1E26	37
1E27	45
1E28	A6
1E29	CC
1E2A	38
1E2B	78
1E2C	E0
1E2D	68
1E2E	02
1E2F	57
1E30	F7
1E31	D7
1E32	28
1E33	F2
1E34	EE
1E35	1A
1E36	96
1E37	74
1E38	89
1E39	5F
1E3A	3E
1E3B	41
1E3C	FC
1E3D	C0
1E3E	EA
1E3F	AA
1E40	CB
1E41	B7
1E42	DA
1E43	5C
1E44	DC
1E45	66
1E46	A9
1E47	03
1E48	8D
1E49	E7
1E4A	D6
1E4B	97
1E4C	51
1E4D	57
1E4E	F4
1E4F	C8
1E50	F5
1E51	69
1E52	D0
1E53	A1
1E54	30
1E55	27
1E56	52
1E57	CA
1E58	DE
1E59	12
1E5A	6E
1E5B	D4
1E5C	F6
1E5D	83
1E5E	16
1E5F	3F
1E60	B6
1E61	6B
1E62	72
1E63	02
1E64	5F
1E65	AE
1E66	9B
1E67	54
1E68	55
1E69	32
1E6A	C6
1E6B	58
1E6C	6B
1E6D	00
1E6E	E9
1E6F	56
1E70	76
1E71	5E
1E72	3B
1E73	37
1E74	AB
1E75	D6
1E76	C7
1E77	58
1E78	AB
1E79	42
1E7A	31
1E7B	B6
1E7C	23
1E7D	85
1E7E	04
1E7F	A2
1E80	8F
1E81	6F
1E82	82
1E83	77
1E84	35
1E85	C4
1E86	ED
1E87	7E
1E88	1E
1E89	89
1E8A	D8
1E8B	51
1E8C	C2
1E8D	A1
1E8E	0B
1E8F	8A
1E90	3E
1E91	F3
1E92	D3
1E93	C7
1E94	2A
1E95	FA
1E96	D7
1E97	A7
1E98	30
1E99	E3
1E9A	ED
1E9B	61
1E9C	01
1E9D	13
1E9E	7F
1E9F	21
1EA0	5D
1EA1	6E
1EA2	67
1EA3	8C
1EA4	01
1EA5	3D
1EA6	8D
1EA7	92
1EA8	EB
1EA9	A6
1EAA	DF
1EAB	97
1EAC	19
1EAD	DB
1EAE	6D
1EAF	F5
1EB0	ED
1EB1	9F
1EB2	1E
1EB3	E4
1EB4	50
1EB5	E4
1EB6	5C
1EB7	45
1EB8	12
1EB9	3B
1EBA	BC
1EBB	C0
1EBC	22
1EBD	68
1EBE	53
1EBF	99
1EC0	3F
1EC1	29
1EC2	20
1EC3	0D
1EC4	2B
1EC5	FF
1EC6	C5
1EC7	6B
1EC8	0D
1EC9	7F
1ECA	BF
1ECB	60
1ECC	2B
1ECD	7D
1ECE	90
1ECF	28
1ED0	90
1ED1	FC
1ED2	AD
1ED3	83
1ED4	8A
1ED5	32
1ED6	F5
1ED7	AE
1ED8	30
1ED9	FD
1EDA	72
1EDB	7C
1EDC	8B
1EDD	92
1EDE	2F
1EDF	4E
1EE0	57
1EE1	26
1EE2	41
1EE3	DB
1EE4	63
1EE5	E2
1EE6	13
1EE7	09
1EE8	D0
1EE9	5C
1EEA	65
1EEB	B6
1EEC	38
1EED	AD
1EEE	08
1EEF	1F
1EF0	C4
1EF1	31
1EF2	D0
1EF3	D9
1EF4	84
1EF5	2A
1EF6	E7
1EF7	FD
1EF8	39
1EF9	65
1EFA	46
1EFB	46
1EFC	B4
1EFD	E6
1EFE	33
1EFF	A1
1F00	99
1F01	D1
1F02	BF
1F03	D3
1F04	CE
1F05	01
1F06	3B
1F07	45
1F08	C4
1F09	36
1F0A	A2
1F0B	79
1F0C	FE
1F0D	04
1F0E	A6
1F0F	33
1F10	A6
1F11	2A
1F12	85
1F13	13
1F14	C5
1F15	6C
1F16	51
1F17	6F
1F18	B2
1F19	7D
1F1A	E8
1F1B	04
1F1C	CC
1F1D	15
1F1E	6B
1F1F	19
1F20	14
1F21	CD
1F22	0A
1F23	91
1F24	63
1F25	11
1F26	13
1F27	35
1F28	3E
1F29	03
1F2A	77
1F2B	BC
1F2C	45
1F2D	2F
1F2E	8E
1F2F	B2
1F30	DC
1F31	5A
1F32	2F
1F33	0F
1F34	A9
1F35	9D
1F36	35
1F37	DF
1F38	90
1F39	4A
1F3A	BA
1F3B	54
1F3C	89
1F3D	FB
1F3E	43
1F3F	98
1F40	76
1F41	C0
1F42	DF
1F43	EC
1F44	B6
1F45	0F
1F46	3B
1F47	D3
1F48	D6
1F49	0E
1F4A	83
1F4B	60
1F4C	8F
1F4D	7A
1F4E	97
1F4F	34
1F50	32
1F51	60
1F52	E0
1F53	54
1F54	E4
1F55	63
1F56	75
1F57	D2
1F58	E3
1F59	89
1F5A	CE
1F5B	CB
1F5C	31
1F5D	D2
1F5E	01
1F5F	AE
1F60	B3
1F61	D0
1F62	4F
1F63	2E
1F64	55
1F65	4B
1F66	BA
1F67	D3
1F68	E9
1F69	0C
1F6A	08
1F6B	5C
1F6C	17
1F6D	22
1F6E	EE
1F6F	30
1F70	CE
1F71	A4
1F72	F2
1F73	ED
1F74	5E
1F75	56
1F76	96
1F77	E4
1F78	36
1F79	DD
1F7A	01
1F7B	6F
1F7C	F7
1F7D	4B
1F7E	F7
1F7F	EB
1F80	68
1F81	74
1F82	07
1F83	2F
1F84	AF
1F85	D2
1F86	F4
1F87	8D
1F88	DE
1F89	39
1F8A	0F
1F8B	B2
1F8C	96
1F8D	C6
1F8E	37
1F8F	77
1F90	B8
1F91	63
1F92	9C
1F93	6E
1F94	70
1F95	DF
1F96	20
1F97	2D
1F98	18
1F99	B8
1F9A	03
1F9B	2A
1F9C	C2
1F9D	B3
1F9E	DB
1F9F	4F
1FA0	DB
1FA1	44
1FA2	7C
1FA3	C5
1FA4	E6
1FA5	E7
1FA6	1E
1FA7	47
1FA8	67
1FA9	64
1FAA	B6
1FAB	24
1FAC	44
1FAD	17
1FAE	72
1FAF	18
1FB0	48
1FB1	7F
1FB2	AC
1FB3	13
1FB4	C4
1FB5	E1
1FB6	7A
1FB7	69
1FB8	7B
1FB9	18
1FBA	03
1FBB	2B
1FBC	81
1FBD	F9
1FBE	B9
1FBF	E6
1FC0	2E
1FC1	05
1FC2	2D
1FC3	7B
1FC4	69
1FC5	15
1FC6	45
1FC7	49
1FC8	31
1FC9	2B
1FCA	82
1FCB	8D
1FCC	AC
1FCD	8D
1FCE	3C
1FCF	D6
1FD0	5A
1FD1	B2
1FD2	DC
1FD3	E3
1FD4	6B
1FD5	F5
1FD6	3D
1FD7	57
1FD8	CE
1FD9	B9
1FDA	0A
1FDB	7F
1FDC	39
1FDD	38
1FDE	B9
1FDF	CF
1FE0	B9
1FE1	DE
1FE2	6E
1FE3	A8
1FE4	B1
1FE5	3B
1FE6	F4
1FE7	6D
1FE8	18
1FE9	75
1FEA	44
1FEB	29
1FEC	D9
1FED	6A
1FEE	6F
1FEF	7C
1FF0	3A
1FF1	21
1FF2	B1
1FF3	D8
1FF4	50
1FF5	9A
1FF6	2C
1FF7	C0
1FF8	9B
1FF9	DC
1FFA	FF
1FFB	BB
1FFC	63
1FFD	2D
1FFE	D8
1FFF	CB
2000	A9
2001	3E
2002	BA
2003	29
2004	C7
2005	A1
2006	58
2007	EB
2008	6C
2009	31
200A	07
200B	8F
200C	1F
200D	78
200E	7E
200F	4B
2010	12
2011	D1
2012	FA
2013	5A
2014	5E
2015	FE
2016	DC
2017	77
2018	10
2019	BB
201A	FF
201B	34
201C	7E
201D	C0
201E	BB
201F	3D
2020	24
2021	57
2022	CB
2023	37
2024	E6
2025	AB
2026	BB
2027	BD
2028	A6
2029	29
202A	E8
202B	58
202C	E5
202D	8A
202E	5B
202F	B7
2030	15
2031	4A
2032	D1
2033	EE
2034	BF
2035	C1
2036	50
2037	59
2038	0C
2039	D2
203A	B8
203B	D2
203C	97
203D	93
203E	58
203F	3E
2040	51
2041	B1
2042	F3
2043	1B
2044	AD
2045	96
2046	7A
2047	90
2048	02
2049	2C
204A	7D
204B	F4
204C	8A
204D	04
204E	8F
204F	14
2050	93
2051	6D
2052	25
2053	3A
2054	2E
2055	44
2056	F5
2057	5A
2058	24
2059	05
205A	3D
205B	19
205C	1A
205D	CC
205E	1E
205F	EE
2060	84
2061	5B
2062	04
2063	14
2064	01
2065	4A
2066	D1
2067	A9
2068	B8
2069	8F
206A	CA
206B	2D
206C	2C
206D	E3
206E	0C
206F	68
2070	93
2071	EA
2072	E0
2073	F1
2074	CA
2075	D3
2076	33
2077	75
2078	BE
2079	DA
207A	1C
207B	3E
207C	4D
207D	F5
207E	79
207F	51
2080	5C
2081	F8
2082	46
2083	5C
2084	C8
2085	6E
2086	BF
2087	32
2088	58
2089	2F
208A	62
208B	07
208C	44
208D	98
208E	E4
208F	FF
2090	16
2091	8D
2092	B3
2093	AB
2094	AD
2095	98
2096	A9
2097	5B
2098	24
2099	FA
209A	AB
209B	92
209C	18
209D	66
209E	23
209F	35
20A0	77
20A1	C5
20A2	EE
20A3	EA
20A4	9E
20A5	0C
20A6	8D
20A7	72
20A8	7E
20A9	78
20AA	FB
20AB	69
20AC	94
20AD	5A
20AE	EF
20AF	2E
20B0	00
20B1	24
20B2	30
20B3	71
20B4	91
20B5	5F
20B6	F0
20B7	CB
20B8	19
20B9	9E
20BA	56
20BB	45
20BC	D7
20BD	29
20BE	4A
20BF	06
20C0	E8
20C1	1D
20C2	59
20C3	FE
20C4	9D
20C5	80
20C6	A6
20C7	C4
20C8	FD
20C9	13
20CA	FA
20CB	4E
20CC	78
20CD	A9
20CE	1F
20CF	C4
20D0	85
20D1	4B
20D2	18
20D3	FE
20D4	45
20D5	45
20D6	A2
20D7	0E
20D8	5A
20D9	82
20DA	EA
20DB	A3
20DC	06
20DD	4A
20DE	2E
20DF	A0
20E0	2B
20E1	26
20E2	76
20E3	30
20E4	19
20E5	F4
20E6	85
20E7	98
20E8	82
20E9	B0
20EA	38
20EB	C1
20EC	A5
20ED	A5
20EE	F3
20EF	ED
20F0	A6
20F1	0A
20F2	2C
20F3	58
20F4	78
20F5	F6
20F6	BA
20F7	70
20F8	06
20F9	44
20FA	1C
20FB	AC
20FC	6A
20FD	05
20FE	9A
20FF	20
2100	F0
2101	8D
2102	85
2103	41
2104	8E
2105	72
2106	C1
2107	4F
2108	2A
2109	42
210A	FD
210B	CE
210C	0D
210D	C3
210E	0D
210F	B5
2110	57
2111	4F
2112	C8
2113	26
2114	31
2115	14
2116	18
2117	60
2118	20
2119	74
211A	7D
211B	31
211C	CD
211D	2E
211E	D6
211F	71
2120	4F
2121	0E
2122	02
2123	F4
2124	66
2125	F7
2126	24
2127	02
2128	CB
2129	06
212A	AD
212B	B2
212C	55
212D	E5
212E	79
212F	A8
2130	F5
2131	2F
2132	DB
2133	EF
2134	88
2135	27
2136	E5
2137	55
2138	77
2139	18
213A	D8
213B	66
213C	C9
213D	C9
213E	44
213F	B7
2140	08
2141	82
2142	51
2143	3B
2144	E2
2145	5C
2146	F2
2147	C8
2148	8B
2149	AD
214A	4D
214B	2E
214C	A7
214D	68
214E	F3
214F	77
2150	AD
2151	3B
2152	FF
2153	E2
2154	B3
2155	8D
2156	A8
2157	D8
2158	8A
2159	E2
215A	A8
215B	00
215C	DD
215D	64
215E	5D
215F	C3
2160	CB
2161	56
2162	CE
2163	31
2164	4F
2165	60
2166	04
2167	35
2168	C0
2169	3B
216A	4D
216B	00
216C	1A
216D	32
216E	80
216F	64
2170	FF
2171	97
2172	C7
2173	9B
2174	2A
2175	29
2176	1A
2177	BF
2178	EE
2179	FF
217A	65
217B	5C
217C	80
217D	00
217E	5F
217F	CF
2180	D8
2181	F0
2182	5B
2183	08
2184	F1
2185	80
2186	EE
2187	63
2188	34
2189	2F
218A	74
218B	EF
218C	75
218D	8C
218E	21
218F	76
2190	58
2191	96
2192	A9
2193	87
2194	0A
2195	31
2196	C7
2197	FC
2198	81
2199	7F
219A	EF
219B	F0
219C	D5
219D	4C
219E	A2
219F	3C
21A0	CD
21A1	1B
21A2	C9
21A3	EC
21A4	D3
21A5	E9
21A6	CB
21A7	75
21A8	41
21A9	A9
21AA	A2
21AB	29
21AC	F6
21AD	68
21AE	81
21AF	08
21B0	7A
21B1	A0
21B2	66
21B3	3A
21B4	33
21B5	A8
21B6	02
21B7	CA
21B8	3A
21B9	2A
21BA	18
21BB	5E
21BC	45
21BD	81
21BE	14
21BF	C8
21C0	41
21C1	7B
21C2	12
21C3	1C
21C4	35
21C5	88
21C6	32
21C7	DE
21C8	00
21C9	A1
21CA	B4
21CB	D1
21CC	19
21CD	BF
21CE	40
21CF	0E
21D0	46
21D1	7A
21D2	75
21D3	6D
21D4	61
21D5	32
21D6	28
21D7	6D
21D8	DB
21D9	AD
21DA	DD
21DB	AB
21DC	77
21DD	60
21DE	73
21DF	FA
21E0	AD
21E1	3A
21E2	84
21E3	66
21E4	27
21E5	FB
21E6	1B
21E7	4A
21E8	B3
21E9	7E
21EA	DC
21EB	89
21EC	56
21ED	BC
21EE	D4
21EF	A6
21F0	4E
21F1	B8
21F2	79
21F3	37
21F4	59
21F5	EB
21F6	AB
21F7	8E
21F8	02
21F9	41
21FA	CA
21FB	C2
21FC	65
21FD	3F
21FE	EA
21FF	3B
2200	FE
2201	13
2202	E8
2203	1A
2204	84
2205	64
2206	9C
2207	D6
2208	E9
2209	95
220A	AF
